Gender,Year,court_d,prep_h,charge
Male,2016,6,170.0,Robbery
Female,2013,15,175.0,Robbery
Male,2011,2,175.0,Robbery
Male,2017,1,175.0,Robbery
Female,2018,20,180.0,Robbery
Female,2012,12,182.0,Robbery
Male,2014,4,184.0,Robbery
Female,2010,3,185.0,Robbery
Male,2012,5,196.0,Robbery
Female,2015,15,197.0,Robbery
Male,2013,18,197.0,Robbery
Female,2018,2,198.0,Robbery
Male,2014,10,198.0,Robbery
Male,2012,14,199.0,Robbery
Male,2017,5,199.0,Robbery
Female,2017,5,206.0,Robbery
Female,2018,19,207.0,Robbery
Male,2020,7,213.0,Robbery
Male,2020,6,213.0,Robbery
Female,2012,5,213.0,Robbery
Female,2018,25,214.0,Robbery
Female,2019,3,215.0,Robbery
Female,2019,14,220.0,Robbery
Male,2015,9,221.0,Robbery
Female,2010,5,221.0,Robbery
Male,2016,12,221.0,Robbery
Female,2016,12,221.0,Robbery
Male,2011,31,222.0,Robbery
Female,2018,24,222.0,Robbery
Male,2016,26,223.0,Robbery
Male,2010,13,225.0,Robbery
Female,2018,20,225.0,Robbery
Male,2013,4,225.0,Robbery
Female,2016,18,225.0,Robbery
Male,2014,7,225.0,Robbery
Male,2019,16,225.0,Robbery
Male,2010,18,230.0,Robbery
Male,2019,30,231.0,Robbery
Male,2010,21,231.0,Robbery
Male,2014,10,232.0,Robbery
Female,2011,38,232.0,Robbery
Female,2010,18,233.0,Robbery
Female,2016,27,236.0,Robbery
Female,2011,11,236.0,Robbery
Male,2020,27,236.0,Robbery
Male,2020,9,237.0,Robbery
Female,2012,20,237.0,Robbery
Male,2019,38,237.0,Robbery
Male,2010,11,238.0,Robbery
Unisex,2017,27,238.0,Robbery
Female,2011,19,239.0,Robbery
Male,2014,24,239.0,Robbery
Male,2020,34,240.0,Robbery
Male,2020,45,240.0,Robbery
Male,2014,19,240.0,Robbery
Male,2011,5,241.0,Robbery
Female,2011,22,242.0,Robbery
Female,2018,14,244.0,Robbery
Male,2014,5,244.0,Robbery
Male,2011,13,245.0,Robbery
Male,2012,5,245.0,Robbery
Male,2016,6,245.0,Robbery
Male,2017,9,245.0,Robbery
Female,2014,15,245.0,Robbery
Male,2014,4,245.0,Robbery
Unisex,2016,11,246.0,Robbery
Female,2019,6,246.0,Robbery
Female,2018,28,246.0,Robbery
Unisex,2014,27,246.0,Robbery
Female,2011,16,247.0,Robbery
Female,2018,17,248.0,Robbery
Male,2014,37,248.0,Robbery
Male,2016,48,249.0,Robbery
Female,2018,20,250.0,Robbery
Female,2010,21,250.0,Robbery
Female,2014,15,250.0,Robbery
Male,2019,30,251.0,Robbery
Female,2017,16,251.0,Robbery
Female,2019,8,252.0,Robbery
Female,2019,38,252.0,Robbery
Female,2017,19,253.0,Robbery
Female,2019,8,253.0,Robbery
Female,2015,49,254.0,Robbery
Male,2018,20,255.0,Robbery
Female,2015,49,256.0,Robbery
Male,2018,5,256.0,Robbery
Male,2010,8,256.0,Robbery
Male,2020,39,257.0,Robbery
Unisex,2018,14,257.0,Robbery
Male,2016,42,258.0,Robbery
Female,2013,8,258.0,Robbery
Female,2012,5,259.0,Robbery
Male,2013,8,259.0,Robbery
Female,2017,35,259.0,Robbery
Female,2019,22,260.0,Robbery
Male,2011,10,260.0,Robbery
Male,2015,35,261.0,Robbery
Male,2013,39,261.0,Robbery
Female,2020,13,261.0,Robbery
Male,2012,8,261.0,Robbery
Male,2013,50,262.0,Robbery
Male,2020,52,262.25,Robbery
Female,2012,52,263.0,Robbery
Female,2017,21,264.0,Robbery
Female,2016,8,264.0,Robbery
Male,2019,12,264.0,Robbery
Female,2016,47,265.0,Robbery
Male,2018,26,265.0,Robbery
Female,2017,50,265.0,Robbery
Male,2016,13,265.0,Robbery
Female,2010,36,265.0,Robbery
Female,2016,7,266.0,Robbery
Male,2013,28,266.0,Robbery
Male,2018,16,267.0,Robbery
Female,2020,12,268.0,Robbery
Female,2010,32,269.0,Robbery
Female,2013,20,269.0,Robbery
Male,2010,14,269.0,Robbery
Female,2018,14,270.0,Robbery
Male,2016,8,270.0,Robbery
Female,2015,6,270.0,Robbery
Female,2012,59,270.0,Robbery
Male,2019,47,271.0,Robbery
Male,2014,22,271.0,Robbery
Female,2010,24,271.0,Robbery
Male,2010,31,272.0,Robbery
Female,2010,40,272.0,Robbery
Male,2018,15,272.0,Robbery
Male,2012,24,273.0,Robbery
Female,2010,54,273.0,Robbery
Male,2017,8,273.0,Robbery
Female,2020,58,275.0,Robbery
Female,2019,30,276.0,Robbery
Unisex,2019,48,276.0,Robbery
Female,2010,21,276.0,Robbery
Female,2012,46,276.0,Robbery
Female,2010,55,277.0,Robbery
Unisex,2017,56,277.0,Robbery
Male,2014,16,278.0,Robbery
Male,2014,53,278.0,Robbery
Female,2012,49,278.0,Robbery
Female,2018,30,278.0,Robbery
Female,2014,56,279.0,Robbery
Female,2019,51,279.0,Robbery
Female,2016,16,279.0,Robbery
Female,2016,13,279.0,Robbery
Male,2020,27,280.0,Robbery
Male,2010,8,280.0,Robbery
Female,2012,38,280.26,Robbery
Male,2017,15,281.0,Robbery
Male,2014,37,281.0,Robbery
Female,2014,45,282.0,Robbery
Male,2015,10,284.0,Robbery
Female,2019,20,285.0,Robbery
Male,2018,60,285.0,Robbery
Female,2018,35,285.0,Robbery
Male,2017,35,285.0,Robbery
Female,2019,55,285.0,Robbery
Female,2014,28,285.0,Robbery
Female,2011,16,286.0,Robbery
Male,2019,59,286.0,Robbery
Female,2018,30,286.0,Robbery
Male,2015,11,286.0,Robbery
Male,2014,18,286.0,Robbery
Male,2010,59,287.0,Robbery
Unknown,2012,21,288.0,Robbery
Female,2010,52,288.0,Robbery
Female,2020,26,288.0,Robbery
Male,2013,12,288.0,Robbery
Female,2017,28,289.0,Robbery
Male,2014,16,289.0,Robbery
Male,2016,14,289.0,Robbery
Female,2011,12,289.0,Robbery
Male,2020,50,289.0,Robbery
Female,2019,20,289.0,Robbery
Male,2016,52,290.0,Robbery
Male,2018,40,290.0,Robbery
Female,2016,18,294.0,Robbery
Female,2014,28,294.0,Robbery
Female,2018,12,295.0,Robbery
Male,2016,30,295.0,Robbery
Male,2015,38,295.0,Robbery
Male,2011,28,295.0,Robbery
Female,2012,58,295.0,Robbery
Male,2012,28,296.0,Robbery
Female,2014,52,297.0,Robbery
Male,2015,56,297.0,Robbery
Female,2016,11,298.0,Robbery
Male,2013,16,299.0,Robbery
Male,2020,27,300.0,Robbery
Female,2014,29,300.0,Robbery
Female,2020,23,302.0,Robbery
Male,2015,19,302.0,Robbery
Male,2016,52,302.0,Robbery
Male,2011,29,303.0,Robbery
Male,2013,50,303.0,Robbery
Male,2014,22,304.0,Robbery
Male,2020,19,305.0,Robbery
Male,2017,44,305.0,Robbery
Male,2013,46,305.0,Robbery
Female,2012,57,306.0,Robbery
Female,2012,24,307.0,Robbery
Male,2019,54,308.0,Robbery
Female,2013,32,308.0,Robbery
Male,2020,16,308.0,Robbery
Female,2016,58,309.0,Robbery
Female,2010,11,309.0,Robbery
Male,2019,31,310.0,Robbery
Male,2014,50,310.0,Robbery
Female,2020,32,311.0,Robbery
Male,2015,14,312.0,Robbery
Male,2011,60,313.0,Robbery
Female,2010,56,313.0,Robbery
Male,2010,25,314.0,Robbery
Female,2017,33,315.0,Robbery
Male,2018,16,316.0,Robbery
Male,2011,22,317.0,Robbery
Female,2016,25,318.0,Robbery
Female,2020,59,319.0,Robbery
Female,2015,57,320.0,Robbery
Female,2020,50,320.0,Robbery
Male,2013,60,321.0,Robbery
Male,2014,19,323.0,Robbery
Male,2014,55,325.0,Robbery
Female,2019,60,326.0,Robbery
Male,2016,56,327.0,Robbery
Male,2019,31,328.0,Robbery
Female,2011,60,328.0,Robbery
Male,2014,16,328.0,Robbery
Female,2011,17,329.0,Robbery
Male,2019,43,332.0,Robbery
Female,2010,55,333.0,Robbery
Female,2016,30,334.0,Robbery
Male,2011,16,335.0,Robbery
Male,2018,40,336.0,Robbery
Female,2018,28,337.0,Robbery
Male,2019,42,340.0,Robbery
Male,2012,33,340.0,Robbery
Female,2014,40,340.0,Robbery
Female,2010,50,341.0,Robbery
Female,2018,25,345.0,Robbery
Female,2016,21,347.0,Robbery
Female,2016,49,348.0,Robbery
Female,2013,60,349.0,Robbery
Female,2015,45,350.0,Robbery
Female,2020,49,353.0,Robbery
Male,2014,49,354.0,Robbery
Female,2012,55,355.0,Robbery
Male,2014,45,356.0,Robbery
Female,2011,34,360.0,Robbery
Female,2019,50,361.0,Robbery
Female,2010,22,362.0,Robbery
Female,2019,60,365.0,Robbery
Female,2017,40,370.0,Robbery
Female,2020,57,371.0,Robbery
Male,2020,44,376.0,Robbery
Male,2016,57,377.0,Robbery
Female,2015,32,378.0,Robbery
Male,2019,48,339.0,Robbery
